59aeb0cc4e8c50236b160163fcbd788de995528c	ANDROID: gki - set CONFIG_BPF_LSM=y	arch/arm64/configs/gki_defconfig
59aeb0cc4e8c50236b160163fcbd788de995528c	ANDROID: gki - set CONFIG_BPF_LSM=y	arch/x86/configs/gki_defconfig
5bd2a15409fa155cde6904a1f53d90b2078b1ad7	ANDROID: gki_defconfig - set CONFIG_IP_NF_MATCH_RPFILTER	arch/arm64/configs/gki_defconfig
5bd2a15409fa155cde6904a1f53d90b2078b1ad7	ANDROID: gki_defconfig - set CONFIG_IP_NF_MATCH_RPFILTER	arch/x86/configs/gki_defconfig
6138297f3eb8126fc6aef71dea23fb28704c2ba7	ANDROID: gki_defconfig: enable LEGACY TABLE configs	arch/arm64/configs/gki_defconfig
6138297f3eb8126fc6aef71dea23fb28704c2ba7	ANDROID: gki_defconfig: enable LEGACY TABLE configs	arch/x86/configs/gki_defconfig
67bc38c735910ad4619e2888060cfa46852e1af5	ANDROID: db845c: enable I2C_DESIGNWARE_CORE with I2C_DESIGNWARE_PLATFORM	arch/arm64/configs/db845c_gki.fragment
695e31e50f626d95def1e1a8d677b4adfe572c89	ANDROID: microdroid: remove CONFIG_DM_INIT	arch/arm64/configs/microdroid_defconfig
695e31e50f626d95def1e1a8d677b4adfe572c89	ANDROID: microdroid: remove CONFIG_DM_INIT	arch/x86/configs/microdroid_defconfig
6a2c13a33b449ac2553caba290bbc8046bbd4ada	ANDROID: gki_defconfig: temporarily enable CONFIG_CPUSETS_V1=y	arch/arm64/configs/gki_defconfig
6ab8cf3e119e5846b97e0cd66ade22fa83d7ddde	ANDROID: microdroid: remove unneeded crypto and compression options	arch/arm64/configs/microdroid_defconfig
6ab8cf3e119e5846b97e0cd66ade22fa83d7ddde	ANDROID: microdroid: remove unneeded crypto and compression options	arch/x86/configs/microdroid_defconfig
6c25e06df41a2924fae86d14ce68828a3fc58f24	ANDROID: gki_defconfig: enable CONFIG_BLK_CGROUP_IOPRIO	arch/arm64/configs/gki_defconfig
6c25e06df41a2924fae86d14ce68828a3fc58f24	ANDROID: gki_defconfig: enable CONFIG_BLK_CGROUP_IOPRIO	arch/riscv/configs/gki_defconfig
6c25e06df41a2924fae86d14ce68828a3fc58f24	ANDROID: gki_defconfig: enable CONFIG_BLK_CGROUP_IOPRIO	arch/x86/configs/gki_defconfig
6c3aa6981b4f01089109ddd7977d13859e540f0e	ANDROID: db845c_gki: Enable PINCTRL_SM8250_LPASS_LPI	BUILD.bazel
6c3aa6981b4f01089109ddd7977d13859e540f0e	ANDROID: db845c_gki: Enable PINCTRL_SM8250_LPASS_LPI	arch/arm64/configs/db845c_gki.fragment
6cfcfd067264114a9fb2cbed97416423f49a3e9d	ANDROID: db845c_gki: Enable QCOM_GPI_DMA=m	BUILD.bazel
6cfcfd067264114a9fb2cbed97416423f49a3e9d	ANDROID: db845c_gki: Enable QCOM_GPI_DMA=m	arch/arm64/configs/db845c_gki.fragment
6e56dfb26594c4a2e88ec3403b04f2699b011cf6	ANDROID: fix up arm64 gki_defconfig for CONFIG_CLK_SUNXI	arch/arm64/configs/gki_defconfig
6f8a578813cc9ebfc986f3205ca1931c1d49e2df	ANDROID: db845c fix defconfig to be like .config	arch/arm64/configs/db845c_gki.fragment
70723dd2ed4be3b1b91f1a26edef487509002b53	ANDROID: gki_config: enable F2FS_UNFAIR_RWSEM	arch/arm64/configs/gki_defconfig
70723dd2ed4be3b1b91f1a26edef487509002b53	ANDROID: gki_config: enable F2FS_UNFAIR_RWSEM	arch/x86/configs/gki_defconfig
70df9211dfd23dcca49559b755fcbedca90eeb7c	ANDROID: gki_defconfig: cfi: unconditionally normalize integers	arch/arm64/configs/gki_defconfig
70df9211dfd23dcca49559b755fcbedca90eeb7c	ANDROID: gki_defconfig: cfi: unconditionally normalize integers	arch/x86/configs/gki_defconfig
727323e6ce8226ed8bf19ad9d89abebe2d515cc7	ANDROID: Update crashdump defconfig.	arch/arm64/configs/crashdump_defconfig
727323e6ce8226ed8bf19ad9d89abebe2d515cc7	ANDROID: Update crashdump defconfig.	arch/x86/configs/crashdump_defconfig
74e94c13d71a269602b4f276c08c585815ce81aa	ANDROID: Enable CONFIG_LAZY_RCU in arm64 gki_defconfig	arch/arm64/configs/gki_defconfig
76bbef6aa9343f8a5c2914784c314d24e22ef294	ANDROID: arm64: vdso32: support user-supplied flags	Documentation/kbuild/kbuild.rst
76bbef6aa9343f8a5c2914784c314d24e22ef294	ANDROID: arm64: vdso32: support user-supplied flags	arch/arm64/kernel/vdso32/Makefile
78b7fb432ac1cde9a9575c2576f4a57e2ef6d26a	ANDROID: gki_defconfig: Enable CONFIG_PROVE_LOCKING for android-mainline	arch/arm64/configs/gki_defconfig
78b7fb432ac1cde9a9575c2576f4a57e2ef6d26a	ANDROID: gki_defconfig: Enable CONFIG_PROVE_LOCKING for android-mainline	arch/riscv/configs/gki_defconfig
78b7fb432ac1cde9a9575c2576f4a57e2ef6d26a	ANDROID: gki_defconfig: Enable CONFIG_PROVE_LOCKING for android-mainline	arch/x86/configs/gki_defconfig
79e617648399889cc7b10253ce6f97c84ee57a8e	ANDROID: gki_defconfig: Remove traces of non-existent symbol WLAN_VENDOR_CISCO	arch/arm64/configs/gki_defconfig
79e617648399889cc7b10253ce6f97c84ee57a8e	ANDROID: gki_defconfig: Remove traces of non-existent symbol WLAN_VENDOR_CISCO	arch/riscv/configs/gki_defconfig
79e617648399889cc7b10253ce6f97c84ee57a8e	ANDROID: gki_defconfig: Remove traces of non-existent symbol WLAN_VENDOR_CISCO	arch/x86/configs/gki_defconfig
7a7c5f9c04767c46d8f79095e6aaef1f07bd87e4	ANDROID: db845c: Enable RB3Gen2 drivers and DTB	BUILD.bazel
7a7c5f9c04767c46d8f79095e6aaef1f07bd87e4	ANDROID: db845c: Enable RB3Gen2 drivers and DTB	arch/arm64/configs/db845c_gki.fragment
7d16bfc115c0c46c4fb1beeb140e723a9b9117d5	ANDROID: gki: enable Rust	arch/arm64/configs/gki_defconfig
7d16bfc115c0c46c4fb1beeb140e723a9b9117d5	ANDROID: gki: enable Rust	arch/x86/configs/gki_defconfig
